,user,eigen_centrality,page_centrality,engagement_comments,engagement_likes,authenticity,interaction
106,mediapart,0.0,7.0425323017541e-06,8.775243473243559e-05,0.008825349988636747,0.7866087202679384,0.010392394060124086
107,pokawafrance,0.04494714144475349,0.0,0.009370955583129862,0.05348251563242882,0.6049992837702336,0.024113965808158864
108,paulette,0.036922950749522454,7.0414845563789114e-06,0.000192897768300726,0.05697293774466804,0.5637941873975394,0.01223295604403969
109,lauriane.bueb,0.0,7.028426958341466e-06,0.0018403663164093863,0.06265761376887939,0.5930382466695316,0.017778988963811547
110,clemfoodie,0.021935755257640514,7.017328208077251e-06,0.000404919254847037,0.10391537977898575,0.5536459606045542,0.023036721304466747
111,trainme.co,0.04494714034541375,0.0,0.0004219850735858269,48.11698372200395,0.7002447118368906,0.0065822658936149315
112,laredouteinterieurs,0.010967946923867844,7.013017492193712e-06,1.9202411750011728e-05,0.009125822745175597,0.6982106193000048,0.004614658578597312
113,lola_rossi_,0.0,7.009692641848524e-06,0.0005694617512608425,0.15675236257087666,0.624747827436375,0.03075013901168945
114,margauxslv,0.0,7.003499763450241e-06,0.004319008108937725,0.14901979558165485,0.6805436183927805,0.011151063084687749
115,pronuptiaparis,0.04494713924607403,0.0,0.00035667284159826215,0.3310148831852499,0.6254007476074516,0.01837395057864127
116,laguinguettedangele,0.0,6.9990479194586685e-06,0.003928027647508778,0.04629802204419248,0.4743768801031371,0.015065039997437458
117,dressingleeloo,0.0,6.992675053788533e-06,0.0038702290299307443,0.057413245950801335,0.531645418516927,0.02588151560855132
118,lisagermaneau,0.01096795022188705,6.991343688402432e-06,0.000317495999584453,31.54400076898069,0.5972162536408347,0.02756060241015071
119,mllealyb,0.04494713924607403,0.0,0.05030166114538966,0.36533234283823934,0.6871985866399275,0.035984978279309625
120,meleponym,0.0,6.983329242969323e-06,0.0012752959801396735,0.008378277858953452,0.6488981998758536,0.02845402524287591
121,fannyb,0.02193816882137268,6.980233836078578e-06,0.0024918048744622234,0.053594621999099444,0.546489280427828,0.010755694713435255
122,bijouxyoupla,0.04494713924607403,0.0,0.045140524415135816,0.6603637805951458,0.4525497779687725,0.04883449430342291
123,healthyclemsy,0.010970294527216245,6.973281989736795e-06,0.010131685780096246,0.02869137664101855,0.6260265959986632,0.040303112914742575
124,boutiquelibertie,0.029964826947982578,6.947375321103102e-06,0.0034808603867850165,0.14152723820495294,0.6399274220503272,0.010214539604531132
125,auroremarket,0.043873880032134625,0.0,0.0023304808248037737,0.13583886841174733,0.6180824141717998,0.0167889252625639
126,amoureusement_toi,0.0,6.921159226350466e-06,0.009839017143371181,0.07388240625320826,0.6756135701666429,0.03652829466645018
127,patykaparis,0.04387146866708192,6.031497860103019e-06,0.0014767824121635505,0.16432676211014524,0.5536754524184693,0.010957130562261129
